f (GHz),theta (deg.),phi (deg.),gain (dBi),directivity (dBi)
1.9800000000000002,100.0,-174.0,0.32482911671341347,0.5385040794980743
1.9800000000000002,102.0,-174.0,0.3357610357905889,0.5566270946986963
1.9800000000000002,104.0,-174.0,0.34423756787814136,0.5706795514344961
1.9800000000000002,106.0,-174.0,0.349816517309905,0.5799283745040387
1.9800000000000002,108.0,-174.0,0.3527544925635468,0.5847989713137032
1.9800000000000002,110.0,-174.0,0.3540415762960092,0.5869327081153771
1.9800000000000002,112.0,-174.0,0.355328168227324,0.5890656296055204
1.9800000000000002,114.00000000000001,-174.0,0.35865361247959304,0.5945785753479129
1.9800000000000002,116.00000000000001,-174.0,0.36594742074771563,0.6066703039072283
1.9800000000000002,118.00000000000001,-174.0,0.37842541117023965,0.6273564074636265
1.9800000000000002,119.99999999999999,-174.0,0.3961550965199315,0.6567488091843438
1.9800000000000002,122.0,-174.0,0.41802185366472916,0.692999678709246
1.9800000000000002,124.0,-174.0,0.4420693445164706,0.732865784483195
1.9800000000000002,126.0,-174.0,0.4659784876463173,0.7725025363944628
1.9800000000000002,128.0,-174.0,0.48746819948632114,0.8081283374623209
1.9800000000000002,130.0,-174.0,0.5045396481458081,0.8364295095958103
1.9800000000000002,132.0,-174.0,0.515587592518102,0.8547448723771492
1.9800000000000002,134.0,-174.0,0.5194334474943526,0.8611205588144465
1.9800000000000002,136.0,-174.0,0.5153284625675959,0.8543152848547018
1.9800000000000002,138.0,-174.0,0.502960899191231,0.8338122480610536
1.9800000000000002,140.0,-174.0,0.4824898888991943,0.7998752578514142
1.9800000000000002,142.0,-174.0,0.45462402914206435,0.7536790322489696
1.9800000000000002,144.0,-174.0,0.4207661044974709,0.697549117760614
1.9800000000000002,146.0,-174.0,0.38325469639516074,0.635362431741845
1.9800000000000002,148.0,-174.0,0.34572714538284516,0.5731489838890972
