f (GHz),S11 (dB),S11 (deg.)
2061600000.0,-11.44883218638999,0.036709685688870536
2063300000.0,-11.42438295299312,-0.28550655241370776
2065000000.0,-11.400988807964731,-0.597906994752874
2066700000.0,-11.378594250324415,-0.9009539339360416
2068400000.0,-11.357147460278558,-1.195080491396085
2070100000.0,-11.336600003653325,-1.4806929007609306
2071800000.0,-11.316906563985803,-1.758172578978535
2073500000.0,-11.29802469933815,-2.0278780079804113
2075200000.0,-11.279914621245942,-2.290146446898614
2076900000.0,-11.26253899351316,-2.545295492457905
2078600000.0,-11.245862748829666,-2.7936245030904727
2080300000.0,-11.22985292141658,-3.035415900518319
2082000000.0,-11.214478494106586,-3.270936360979145
2083700000.0,-11.199710258442384,-3.500437906902157
2085400000.0,-11.185520686531877,-3.724158908642136
2087100000.0,-11.171883813534825,-3.9423250048305314
2088800000.0,-11.158775129776037,-4.155149948980207
2090500000.0,-11.146171481586276,-4.362836389169253
2092200000.0,-11.134050980065735,-4.565576586914485
2093900000.0,-11.122392917047982,-4.7635530807129385
2095600000.0,-11.111177687615934,-4.95693929917164
2097300000.0,-11.100386718586606,-5.145900128150149
2099000000.0,-11.0900024024396,-5.330592435900841
2100700000.0,-11.080008036215922,-5.51116555980093
2102400000.0,-11.070387764959818,-5.687761757922195
2104100000.0,-11.0611265293175,-5.860516628373495
2105800000.0,-11.052210016943372,-6.0295594990739945
2107500000.0,-11.043624617397281,-6.195013790366617
2109200000.0,-11.035357380245811,-6.356997352659182
2110900000.0,-11.027395976107133,-6.515622781080728
2112600000.0,-11.019728660402565,-6.67099770896202
2114300000.0,-11.012344239599546,-6.823225081787205
2116000000.0,-11.005232039749744,-6.972403413119458
2117700000.0,-10.998381877143636,-7.118627023871543
2119400000.0,-10.991784030918193,-7.2619862661748265
2121100000.0,-10.985429217468772,-7.402567732993011
2122800000.0,-10.979308566528882,-7.540454454530463
2124500000.0,-10.97341359879309,-7.675726082397256
2126200000.0,-10.967736204968936,-7.808459062413701
2127900000.0,-10.962268626153001,-7.938726796865089
2129600000.0,-10.957003435435182,-8.066599796951726
2131300000.0,-10.951933520642793,-8.192145826119813
2133000000.0,-10.947052068143467,-8.31543003490432
2134700000.0,-10.942352547632177,-8.436515087865594
2136400000.0,-10.93782869783372,-8.5554612831562
2138100000.0,-10.933474513057323,-8.672326665213252
2139800000.0,-10.929284230545,-8.787167131033844
2141500000.0,-10.925252318559803,-8.900036530456571
2143200000.0,-10.921373465164192,-9.010986760840481
2144900000.0,-10.917642567642545,-9.120067856504127
2146600000.0,-10.914054722525275,-9.227328073260374
2148300000.0,-10.910605216175167,-9.332813968358526
2150000000.0,-10.907289515899494,-9.43657047612289
2151700000.0,-10.904103261554107,-9.538640979556012
2153400000.0,-10.901042257608115,-9.639067378156216
2155100000.0,-10.898102465640093,-9.737890152181256
2156800000.0,-10.895279997238806,-9.835148423574074
2158500000.0,-10.892571107283258,-9.930880013751407
2160200000.0,-10.88997218757881,-10.025121498442822
2161900000.0,-10.887479760827553,-10.11790825975443
2163600000.0,-10.885090474912742,-10.209274535620334
2165300000.0,-10.88280109747841,-10.29925346679381
2167000000.0,-10.880608510786614,-10.387877141520097
2168700000.0,-10.878509706835889,-10.475176638023637
2170400000.0,-10.876501782725638,-10.561182064933721
2172100000.0,-10.874581936252131,-10.645922599764623
2173800000.0,-10.8727474617228,-10.729426525559036
2175500000.0,-10.870995745976328,-10.811721265796322
2177200000.0,-10.869324264596845,-10.89283341766129
2178900000.0,-10.867730578311335,-10.972788783762553
2180600000.0,-10.866212329559987,-11.05161240238473
2182300000.0,-10.864767239229947,-11.129328576352929
2184000000.0,-10.86339310354342,-11.205960900583646
2185700000.0,-10.862087791091774,-11.281532288391439
2187400000.0,-10.860849240007672,-11.35606499661673
2189100000.0,-10.85967545526785,-11.429580649636135
2190800000.0,-10.85856450611956,-11.502100262313038
2192500000.0,-10.8575145236241,-11.5736442619429
2194200000.0,-10.856523698311353,-11.644232509244368
2195900000.0,-10.855590277939415,-11.713884318444647
